time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
201415,Academic year,Local authority,E92000001,England,E12000002,North West,876,E06000006,Halton,By Age 25,Free School Meals,All Other Pupils,Total,51.6
201415,Academic year,Local authority,E92000001,England,E12000007,London,213,E09000033,Westminster,By Age 25,Free School Meals,All Other Pupils,Total,75.0
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,By Age 25,Free School Meals,All Other Pupils,Total,40.8
201415,Academic year,Local authority,E92000001,England,E12000007,London,311,E09000016,Havering,By Age 25,Free School Meals,All Other Pupils,Total,46.1
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,811,E06000011,East Riding of Yorkshire,By Age 25,Free School Meals,All Other Pupils,Total,54.5
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,816,E06000014,York,By Age 25,Free School Meals,All Other Pupils,Total,55.4
201415,Academic year,Local authority,E92000001,England,E12000007,London,308,E09000010,Enfield,By Age 25,Free School Meals,All Other Pupils,Total,65.9
201415,Academic year,Local authority,E92000001,England,E12000007,London,320,E09000031,Waltham Forest,By Age 25,Free School Meals,All Other Pupils,Total,64.7
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,By Age 25,Free School Meals,All Other Pupils,Total,42.6
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,By Age 25,Free School Meals,All Other Pupils,Total,56.4
201415,Academic year,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,By Age 25,Free School Meals,All Other Pupils,Total,51.3
201415,Academic year,Local authority,E92000001,England,E12000007,London,304,E09000005,Brent,By Age 25,Free School Meals,All Other Pupils,Total,71.5
201415,Academic year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,By Age 25,Free School Meals,All Other Pupils,Total,52.6
201415,Academic year,Local authority,E92000001,England,E12000007,London,212,E09000032,Wandsworth,By Age 25,Free School Meals,All Other Pupils,Total,67.3
201415,Academic year,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,By Age 25,Free School Meals,All Other Pupils,Total,59.3
201415,Academic year,Local authority,E92000001,England,E12000007,London,301,E09000002,Barking and Dagenham,By Age 25,Free School Meals,All Other Pupils,Total,59.0
201415,Academic year,Local authority,E92000001,England,E12000007,London,204,E09000012,Hackney,By Age 25,Free School Meals,All Other Pupils,Total,65.9
201415,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,By Age 25,Free School Meals,All Other Pupils,Total,37.7
201415,Academic year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,By Age 25,Free School Meals,All Other Pupils,Total,43.8
201415,Academic year,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,By Age 25,Free School Meals,All Other Pupils,Total,51.1
201415,Academic year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,By Age 25,Free School Meals,All Other Pupils,Total,49.5
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,By Age 25,Free School Meals,All Other Pupils,Total,58.5
201415,Academic year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,By Age 25,Free School Meals,All Other Pupils,Total,48.3
201415,Academic year,Local authority,E92000001,England,E12000007,London,202,E09000007,Camden,By Age 25,Free School Meals,All Other Pupils,Total,67.7
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,By Age 25,Free School Meals,All Other Pupils,Total,44.7
201415,Academic year,Local authority,E92000001,England,E12000008,South East,851,E06000044,Portsmouth,By Age 25,Free School Meals,All Other Pupils,Total,41.7
201415,Academic year,Local authority,E92000001,England,E12000008,South East,921,E06000046,Isle of Wight,By Age 25,Free School Meals,All Other Pupils,Total,44.2
201415,Academic year,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,By Age 25,Free School Meals,All Other Pupils,Total,52.1
201415,Academic year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,By Age 25,Free School Meals,All Other Pupils,Total,52.6
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,By Age 25,Free School Meals,All Other Pupils,Total,52.9
201415,Academic year,Local authority,E92000001,England,E12000008,South East,846,E06000043,Brighton and Hove,By Age 25,Free School Meals,All Other Pupils,Total,54.9
201415,Academic year,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,By Age 25,Free School Meals,All Other Pupils,Total,51.5
201415,Academic year,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,By Age 25,Free School Meals,All Other Pupils,Total,55.2
201415,Academic year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,By Age 25,Free School Meals,All Other Pupils,Total,50.6
201415,Academic year,Local authority,E92000001,England,E12000008,South East,852,E06000045,Southampton,By Age 25,Free School Meals,All Other Pupils,Total,44.5
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,By Age 25,Free School Meals,All Other Pupils,Total,49.6
201415,Academic year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,By Age 25,Free School Meals,All Other Pupils,Total,57.3
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,By Age 25,Free School Meals,All Other Pupils,Total,54.3
201415,Academic year,Local authority,E92000001,England,E12000002,North West,353,E08000004,Oldham,By Age 25,Free School Meals,All Other Pupils,Total,55.2
201415,Academic year,Local authority,E92000001,England,E12000007,London,317,E09000026,Redbridge,By Age 25,Free School Meals,All Other Pupils,Total,74.6
201415,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,By Age 25,Free School Meals,All Other Pupils,Total,58.6
201415,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,By Age 25,Free School Meals,All Other Pupils,Total,48.1
201415,Academic year,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,By Age 25,Free School Meals,All Other Pupils,Total,47.2
201415,Academic year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,By Age 25,Free School Meals,All Other Pupils,Total,59.9
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,By Age 25,Free School Meals,All Other Pupils,Total,53.6
201415,Academic year,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,By Age 25,Free School Meals,All Other Pupils,Total,48.8
201415,Academic year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,By Age 25,Free School Meals,All Other Pupils,Total,55.5
201415,Academic year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,By Age 25,Free School Meals,All Other Pupils,Total,56.2
201415,Academic year,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,By Age 25,Free School Meals,All Other Pupils,Total,66.7
201415,Academic year,Local authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,By Age 25,Free School Meals,All Other Pupils,Total,53.9
201415,Academic year,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,By Age 25,Free School Meals,All Other Pupils,Total,50.2
201415,Academic year,Local authority,E92000001,England,E12000007,London,312,E09000017,Hillingdon,By Age 25,Free School Meals,All Other Pupils,Total,61.2
201415,Academic year,Local authority,E92000001,England,E12000002,North West,352,E08000003,Manchester,By Age 25,Free School Meals,All Other Pupils,Total,58.9
201415,Academic year,Local authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,By Age 25,Free School Meals,All Other Pupils,Total,52.9
201415,Academic year,Local authority,E92000001,England,E12000008,South East,825,E10000002,Buckinghamshire,By Age 25,Free School Meals,All Other Pupils,Total,65.1
201415,Academic year,Local authority,E92000001,England,E12000007,London,309,E09000014,Haringey,By Age 25,Free School Meals,All Other Pupils,Total,69.8
201415,Academic year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,By Age 25,Free School Meals,All Other Pupils,Total,55.9
201415,Academic year,Local authority,E92000001,England,E12000008,South East,887,E06000035,Medway,By Age 25,Free School Meals,All Other Pupils,Total,47.9
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,By Age 25,Free School Meals,All Other Pupils,Total,51.4
201415,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,By Age 25,Free School Meals,All Other Pupils,Total,57.5
201415,Academic year,Local authority,E92000001,England,E12000007,London,310,E09000015,Harrow,By Age 25,Free School Meals,All Other Pupils,Total,77.2
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,By Age 25,Free School Meals,All Other Pupils,Total,49.8
201415,Academic year,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,By Age 25,Free School Meals,All Other Pupils,Total,53.8
